No,Booking_ID,Vehicle_ID,Driver_ID,Trip_start_DT,Trip_end_DT,Start_Post,End_Post,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Fare,Distance,Order_Type,Start_Time,End_Time,Start_Slot,End_Slot,Patience_Level,DistrictCode
31922,A643096FC722360527768B1D2E78B1,705AF438E013B3379A6A40AE8907F9,6F8F565963F03CC375B76474FEF1BD,2016-12-01 04:10:00,2016-12-01 04:20:00,310207,269694,1.342398,103.845517,1.323016,103.811217,13.7,7.2,Booking,2021-11-26 04:10:32,2021-11-26 04:20:39,25.0,26.0,39,12.0
77250,4F4DE5EDEC1A694EB88D7327B49F2D,0308FDC53624470AC707878386A01A,A82CFA74A1534D74743EA0BCAAB4F0,2016-12-01 08:48:00,2016-12-01 09:07:00,150002,48659,1.286675,103.8069,1.284748,103.8476,13.9,5.1,Street-Hailing,2021-11-26 08:48:37,2021-11-26 09:07:34,53.0,55.0,168,3.0
95051,155CA8BC3DC41506E7ED29D32C6A44,674D399FE58BD532421141A016D914,15D9EAE7817880C6C52D3E750C98FA,2016-12-01 09:45:00,2016-12-01 10:10:00,39797,138587,1.290653,103.8583,1.299509,103.837,13.8,14.3,Street-Hailing,2021-11-26 09:45:27,2021-11-26 10:10:51,58.0,61.0,103,1.0
68895,DD0859F5AC40B6EEA96423D3D79C9C,4DC6756F78625F302DB497A21806B4,F04A3C8F80EB38FE23DB5BCD97105F,2016-12-01 08:20:00,2016-12-01 08:56:00,527450,188976,1.358313,103.952894,1.299597,103.852556,27.45,15.6,Booking,2021-11-26 08:20:10,2021-11-26 08:56:46,50.0,54.0,30,18.0
67465,702723455AF067FE0B9EB82BE90E19,1B8AA358E507AC41950A59006975D8,B5C147D3CE4B4853ECAF70090A0475,2016-12-01 08:15:00,2016-12-01 08:51:00,528735,181003,1.355802,103.9419,1.302711,103.8552,21.45,13.6,Street-Hailing,2021-11-26 08:15:11,2021-11-26 08:51:14,50.0,53.0,114,18.0
127315,C1A82FB92D276B87083A79D020DB12,654A316A460885B4DCF81DDD35F943,40329986EC05CA17B817326D686DB6,2016-12-01 11:39:00,2016-12-01 12:13:00,543268,609930,1.384657,103.896048,1.32954,103.747567,23.3,27.8,Booking,2021-11-26 11:39:49,2021-11-26 12:13:42,70.0,73.0,123,19.0
75894,F24AA1314E72AF591A4F672E3FBD90,407B62CEEE1D3CC0A9D3664437BC2B,98663AEC10B59B98A7B18339911CD4,2016-12-01 08:44:00,2016-12-01 09:05:00,120415,39393,1.311057,103.771539,1.292009,103.85588,25.65,15.7,Booking,2021-11-26 08:44:20,2021-11-26 09:05:56,52.0,54.0,173,5.0
120388,61543BFF816AFF3746EE568EAE90E0,12F8551800598F2F272DEC1DEC40B6,E3CEBA9684B34C408E2C57DB1A613F,2016-12-01 11:15:00,2016-12-01 11:28:00,88539,98268,1.299509,103.837,1.253369,103.8265,7.65,4.5,Street-Hailing,2021-11-26 11:15:10,2021-11-26 11:28:18,68.0,69.0,70,2.0
104123,C9AA15AFC25BA2C877CB22A83E5058,AACDD6C7470D421DFA96B89BB6F86A,E516D3BE90AC370118599378C89BD4,2016-12-01 10:16:00,2016-12-01 10:28:00,69906,579701,1.299509,103.837,1.342819,103.859222,13.1,8.6,Booking,2021-11-26 10:16:41,2021-11-26 10:28:04,62.0,63.0,152,1.0
33637,31E668A4E45436716643B58E71262A,2F36A1E2A1B786521E9DD864DD201F,0D32C19043EC9AC61558DCE7CAF73C,2016-12-01 04:32:00,2016-12-01 04:37:00,730669,730015,1.438295,103.7983,1.442047,103.7782,7.45,3.0,Street-Hailing,2021-11-26 04:32:51,2021-11-26 04:37:39,27.0,28.0,88,25.0
