No,Booking_ID,Vehicle_ID,Driver_ID,Trip_start_DT,Trip_end_DT,Start_Post,End_Post,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Fare,Distance,Order_Type,Start_Time,End_Time,Start_Slot,End_Slot,Patience_Level,DistrictCode
36900,E80B64BA6030F38FF7C71897A2A0BE,CC7EE7E2E5A8A67B27ABD2AFD6C7C7,809FE12B4AA651281E1D686CE8E8A7,2016-12-01 05:12:00,2016-12-01 05:31:00,518189,819663,1.299509,103.837,1.356716,103.9865,15.45,9.0,Street-Hailing,2021-12-23 05:12:43,2021-12-23 05:31:29,31.0,33.0,152,18.0
112358,629AC277C8FBA7A3E6CA6CC2402F3A,F13E9426B7DE365C4FCF610A603E6C,3BEAD1785EC9698BB8F6EBEE6BB640,2016-12-01 10:45:00,2016-12-01 10:54:00,760107,768828,1.432263,103.8273,1.423798,103.8384,7.7,2.0,Street-Hailing,2021-12-23 10:45:45,2021-12-23 10:54:20,64.0,65.0,84,27.0
85034,7F16DC43C056939EB581E8AE010C1C,82548D744AB03BEAFF2654B0F5C332,5D2F85823AE5BD2E08DB1CCEA01BE3,2016-12-01 09:13:00,2016-12-01 09:34:00,313079,408564,1.33436,103.848924,1.326293,103.896145,15.25,7.3,Booking,2021-12-23 09:13:22,2021-12-23 09:34:11,55.0,57.0,113,12.0
42275,66C4EE9725E3AF10AC67F885C6511F,5ADCE583F92AD9B622E22C6BCF2CA3,522A2C8ECF84907C549307C5852750,2016-12-01 06:11:00,2016-12-01 06:16:00,510643,518457,1.377784,103.938,1.372567,103.9502,5.65,1.7,Street-Hailing,2021-12-23 06:11:00,2021-12-23 06:16:00,37.0,38.0,81,18.0
52720,A4EB37B2708719612714EDF0567D7D,F6EEEB97638E38290DD0E53F2F1BB7,13E5A2204EC3FB3EF9FEEC29B54188,2016-12-01 07:17:00,2016-12-01 07:24:00,259850,249077,1.315938,103.829071,1.29528,103.825743,10.05,3.4,Booking,2021-12-23 07:17:47,2021-12-23 07:24:49,44.0,44.0,48,10.0
110628,19A25124781A015C2CBD94BDABABCD,A93DCC2AA2483EB06471E8D0AA30EA,68D0E6061721ED98F85145539C5CBD,2016-12-01 10:39:00,2016-12-01 11:01:00,69120,819663,1.299509,103.837,1.356716,103.9865,16.15,20.7,Street-Hailing,2021-12-23 10:39:21,2021-12-23 11:01:16,64.0,66.0,128,1.0
55831,767D5E963930B7318AF73AE8A3E346,B8B0FF657E453100733FDD541C7558,19C2BAB61255665A80D9CF9B9AB98D,2016-12-01 07:31:00,2016-12-01 07:39:00,550500,569813,1.374651,103.8757,1.381747,103.845,7.9,4.0,Street-Hailing,2021-12-23 07:31:50,2021-12-23 07:39:48,45.0,46.0,74,19.0
39221,1D7B03D8B4312E6753CAF1F522FF81,5546029573D47C87A10ABC46262401,4231B25552BB3C3973F55548D601CA,2016-12-01 05:39:00,2016-12-01 05:53:00,238876,398415,1.307196,103.8285,1.313701,103.8855,12.4,7.6,Street-Hailing,2021-12-23 05:39:38,2021-12-23 05:53:16,34.0,35.0,89,9.0
42744,51C719B35C4707EB732119684EE9C7,8FFEDE82D416A9BDAF769E9816FACA,84F5B3035F3681EC766F5DE5DAFC18,2016-12-01 06:15:00,2016-12-01 06:36:00,150003,427556,1.287075,103.806888,1.309452,103.902408,18.3,13.0,Booking,2021-12-23 06:15:00,2021-12-23 06:36:50,38.0,40.0,35,3.0
49208,22D42BD19C0BFFD6B7305BD09E8AD4,A9B127FDA2885AD937201C55FBD6DD,DA8D4C519D59B343483D999232372D,2016-12-01 06:59:00,2016-12-01 07:21:00,760172,229899,1.436729,103.831,1.310644,103.847,20.1,19.1,Street-Hailing,2021-12-23 06:59:04,2021-12-23 07:21:28,42.0,44.0,43,27.0
31391,C4C9DD3C65EFE906302A3A41BA6E27,CC9FEB9A8CECFAA64D126561F0B527,9CBE94138A6EE33155F8AC915BA823,2016-12-01 04:03:00,2016-12-01 04:21:00,238875,544813,1.306991,103.8289,1.381171,103.9025,19.3,16.2,Street-Hailing,2021-12-23 04:03:54,2021-12-23 04:21:19,24.0,26.0,34,9.0
91041,68FA5CBB29533061D734E55ECC30B4,12762C7101CACDD0E896F77F824848,CFC03D68F5127BA8F05D845B9A9992,2016-12-01 09:32:00,2016-12-01 09:58:00,520363,298137,1.355777,103.9607,1.333502,103.8398,15.1,16.2,Street-Hailing,2021-12-23 09:32:14,2021-12-23 09:58:41,57.0,60.0,40,18.0
42723,CDFFFC9044DFAA14D628C4BE24EF21,E9F89D4ECB8ADA6DB5490DCA47DFF0,EB4709548D762C04F03AE5CB696B84,2016-12-01 06:14:00,2016-12-01 06:23:00,510230,499640,1.372718,103.961,1.348001,103.9671,7.9,3.7,Street-Hailing,2021-12-23 06:14:46,2021-12-23 06:23:19,37.0,38.0,38,18.0
123313,C6167BF42086871D731BB720F00764,31EB111DF6E788DD65AC9951C3CD50,BB0C440A779586A2B7939470DE7EBA,2016-12-01 11:25:00,2016-12-01 11:50:00,643661,640928,1.336339,103.705079,1.340928,103.689383,23.9,20.0,Booking,2021-12-23 11:25:45,2021-12-23 11:50:39,68.0,71.0,170,22.0
94701,8386FF0140EB9163639DE75699A1DC,DB26B00F3E74C1A366D92DAA25BDCE,46B00E8DC4A1115E7EC02528FDC908,2016-12-01 09:44:00,2016-12-01 09:59:00,569933,768061,1.369017,103.848122,1.299509,103.837,11.65,8.1,Booking,2021-12-23 09:44:14,2021-12-23 09:59:29,58.0,60.0,149,20.0
86178,9ACC49490A3FD080860A57EBACC5AA,C1FAA1AB2B221318E221E5B6F752FD,D9ADAE5CF3B96C4234F2C16989C076,2016-12-01 09:16:00,2016-12-01 09:41:00,659247,117674,1.354941,103.752664,1.28646,103.781881,16.85,10.6,Booking,2021-12-23 09:16:57,2021-12-23 09:41:03,56.0,58.0,110,23.0
106479,CEAAEFA407139DF2A1CB250C56FD0D,0CDFFDA54F6F4E47E98A30E4B15DD6,71F954FE6D07157C5E5BF8E5FE639E,2016-12-01 10:25:00,2016-12-01 10:39:00,127369,640456,1.303379,103.7649,1.35068,103.7203,8.45,8.2,Street-Hailing,2021-12-23 10:25:00,2021-12-23 10:39:00,62.0,64.0,165,5.0
57693,3AD0EC7C78058986047F5F1580D30B,182C0D51151A71B8B82D2FD984105C,197C2AB9661A5935B05961688CA821,2016-12-01 07:39:00,2016-12-01 07:56:00,640695,609966,1.342615,103.707427,1.328234,103.753597,15.05,6.0,Booking,2021-12-23 07:39:10,2021-12-23 07:56:16,46.0,48.0,163,22.0
73595,E4FFAF81D2F68AB7234B083B3A2E0E,5A213EDC52A150875B36AC42C3BB94,E3EF39F29D17302D2B712D55EE8CCD,2016-12-01 08:36:00,2016-12-01 09:22:00,510160,1,1.364056,103.9625,1.292474,103.8565,31.8,23.6,Street-Hailing,2021-12-23 08:36:41,2021-12-23 09:22:41,52.0,56.0,117,18.0
85361,3349E5E4D064558844149B53CEB3A2,6E35D6647C3B261C07D34A285EF4DF,C07E8C88A7697E39B58216F4DFD190,2016-12-01 09:14:00,2016-12-01 09:23:00,208738,187961,1.308491,103.8627,1.300604,103.8526,9.65,2.0,Street-Hailing,2021-12-23 09:14:24,2021-12-23 09:23:21,55.0,56.0,69,8.0
115499,C65A6BF20C7EF2140C1289FA4B565B,E5C0268CD02FBBC6EF9427C58B92B5,662044981AEDEBF511F4713C75969F,2016-12-01 10:57:00,2016-12-01 11:16:00,350110,819643,1.336442,103.8651,1.355322,103.9883,13.95,17.7,Street-Hailing,2021-12-23 10:57:11,2021-12-23 11:16:40,66.0,68.0,45,13.0
58657,4A8889A1E2B8AC765F4E06FE0A6916,6500B8C25347770B86A60E8C2B5941,F924C40E7B892F17BCF664674AAB81,2016-12-01 07:42:00,2016-12-01 08:25:00,681487,498836,1.376038,103.73869,1.360792,103.973122,38.15,34.2,Booking,2021-12-23 07:42:53,2021-12-23 08:25:04,46.0,50.0,32,23.0
132526,D87D3EC129D8792A961195ECD11579,A0BE02657706B158AE09B9FE1EA407,A20BD916E9162C094D4E68F40BC368,2016-12-01 11:57:00,2016-12-01 12:32:00,738406,59413,1.438347,103.7671,1.285202,103.8449,22.2,27.7,Street-Hailing,2021-12-23 11:57:14,2021-12-23 12:32:38,72.0,75.0,99,25.0
51161,2E7AF2DCA0967EA9B65EA6792569BE,A2E162C8CF68DC61A2FAF9E34100DC,439BD4A9EEC264EE447CE756B6EF65,2016-12-01 07:09:00,2016-12-01 07:22:00,642990,619105,1.335201,103.6948,1.313494,103.7194,8.95,5.1,Street-Hailing,2021-12-23 07:09:56,2021-12-23 07:22:29,43.0,44.0,138,22.0
128707,04FB22758D6E3C8592F9CE80A12BF7,BCC81A69722D7C5B8DB3318DC0F6AD,0BF232424C17618CBC2810C9ECF5B6,2016-12-01 11:44:00,2016-12-01 12:05:00,38987,258332,1.295285,103.8585,1.30817,103.8279,9.35,5.6,Street-Hailing,2021-12-23 11:44:32,2021-12-23 12:05:17,70.0,72.0,115,1.0
67631,A633BBBDE1D0281DEF07D1149C3B3C,F741FE73998E89FAE613084388E90C,28326D3C0177407940BE5C358A2972,2016-12-01 08:15:00,2016-12-01 08:39:00,819642,400338,1.362159,103.9901,1.326104,103.9019,19.35,14.1,Street-Hailing,2021-12-23 08:15:46,2021-12-23 08:39:45,50.0,52.0,157,17.0
75518,F95C7FB1B68F86F899553007127A02,13B1272FA835874BE3E907A1484801,20725263450A25129E4BCDAD1FF565,2016-12-01 08:43:00,2016-12-01 08:53:00,550104,569844,1.370662,103.8709,1.370464,103.8458,7.55,3.4,Street-Hailing,2021-12-23 08:43:04,2021-12-23 08:53:29,52.0,53.0,121,19.0
98009,121FF6D625986655E7EB46520ED393,68504A4EB78A699CE3552CE76B43B6,92834E1A22329B0628961EA784A114,2016-12-01 09:55:00,2016-12-01 10:10:00,602288,627852,1.339238,103.7428,1.333164,103.6948,8.0,6.1,Street-Hailing,2021-12-23 09:55:27,2021-12-23 10:10:29,60.0,61.0,39,22.0
66611,C6D84B411D03DF1500CD17CA6B1BD0,8C5B34B7D315FDC7AA0322BD8D2085,B505753C1EB7C2C0093B059FC4211C,2016-12-01 08:12:00,2016-12-01 08:44:00,614337,68907,1.337648,103.7233,1.299509,103.837,29.75,17.1,Street-Hailing,2021-12-23 08:12:25,2021-12-23 08:44:10,49.0,52.0,119,22.0
40585,3B9B7930E778BB189703AB9DD3FB9C,8AF66FDDD0D1DD911B429A93CF44EF,40D95E273DA9FCBDE0077812B76051,2016-12-01 05:56:00,2016-12-01 06:17:00,189673,819661,1.295791,103.854,1.357373,103.9881,26.4,18.5,Street-Hailing,2021-12-23 05:56:32,2021-12-23 06:17:03,36.0,38.0,55,7.0
72795,5C6AA44969E759EE55AE58564716C8,7C09803E22CB6AF913356F9A9442B7,24D3803F79D03DD9FF05CC10309ADF,2016-12-01 08:33:00,2016-12-01 09:42:00,518214,609935,1.371781,103.943697,1.3276,103.749234,41.55,34.4,Booking,2021-12-23 08:33:59,2021-12-23 09:42:42,51.0,58.0,170,18.0
70236,847D6C9A1783DB2564E8ACC5138969,4AE2F672684B5365CBB9286C983507,57F5EA3384579522F69E8EB0FFEEDA,2016-12-01 08:24:00,2016-12-01 08:54:00,38989,819661,1.295556,103.859,1.357373,103.9881,21.3,19.4,Street-Hailing,2021-12-23 08:24:53,2021-12-23 08:54:56,50.0,53.0,130,1.0
118742,EC967D9A5DEC5B5D9E3BE52C437553,8E57AAC2FE9083A6704DCEE9291593,9EDAB3DE2DA7C09B297C05DE8D5341,2016-12-01 11:09:00,2016-12-01 11:22:00,308433,48659,1.321097,103.8456,1.284748,103.8476,7.8,6.5,Street-Hailing,2021-12-23 11:09:00,2021-12-23 11:22:00,67.0,68.0,36,11.0
55507,E9340A05FA057E2967F092258E7555,CC7A20BDAD82F31918F090E056143B,5796A6EB1C94D4216C296C612FA5FB,2016-12-01 07:30:00,2016-12-01 07:46:00,807018,308441,1.38698,103.8688,1.322189,103.8465,15.85,11.0,Street-Hailing,2021-12-23 07:30:30,2021-12-23 07:46:51,45.0,47.0,103,28.0
131663,79271DE29527DAFA57865744C24076,C34C7544A05BEC89AB3484764473BC,60BFC496E4B65B7525680834EEAE30,2016-12-01 11:54:00,2016-12-01 12:20:00,460416,238162,1.328566,103.9305,1.300256,103.8391,13.65,13.1,Street-Hailing,2021-12-23 11:54:30,2021-12-23 12:20:36,71.0,74.0,123,16.0
92875,71D3886F84CE0FFF27318C60359BAF,8F6B0F96BEEC29BCA32E611107E04B,0CE0A57F2B2121CEC9AD66F1E78B3F,2016-12-01 09:38:00,2016-12-01 09:46:00,528802,486026,1.347338,103.959622,1.334129,103.965824,7.9,2.5,Booking,2021-12-23 09:38:13,2021-12-23 09:46:45,58.0,59.0,115,18.0
108412,DF4AF8FFE75127ADFFE3E0444908CB,619677ECA37D09B789C43EB3B93408,F008D48B70F63E1F0C581E04041B21,2016-12-01 10:31:00,2016-12-01 11:53:00,460407,460407,1.328623,103.9334,1.328623,103.9334,41.7,51.0,Street-Hailing,2021-12-23 10:31:41,2021-12-23 11:53:59,63.0,71.0,168,16.0
84685,6EDC767C6FB1B81D5D2DE07EEDDE2B,1BF41C9B9EB889462E042866883DDB,031795C639C801AA417C056A070EB0,2016-12-01 09:12:00,2016-12-01 09:43:00,258343,486058,1.309193,103.827734,1.336282,103.963579,31.2,20.7,Booking,2021-12-23 09:12:13,2021-12-23 09:43:50,55.0,58.0,32,10.0
