Driver ID,Service Score
1,76.46640008
2,77.95601287
3,61.13099572
4,79.27055651
5,9.612685109
6,74.22019295
7,85.13904838
8,49.44270474
9,80.26433115
10,64.82192566
11,100
12,100
13,81.70767522
14,49.83862419
15,87.51109906
16,87.59578344
17,57.51571616
18,82.88249314
19,73.39905249
20,80.56237362
21,74.36885392
22,88.05059672
23,68.49026752
24,86.61558301
25,80.61661864
26,78.57378693
27,76.40108998
28,74.7490089
29,82.40289326
30,76.4927093
31,72.56579542
32,74.4705883
33,78.77179893
34,44.62139526
35,68.70832099
36,87.92207575
37,78.1000827
38,76.29658712
39,78.49638691
40,64.85180652
41,78.19334523
42,81.235808
43,81.98947655
44,72.84877659
45,56.57672387
46,78.25935257
47,78.07518334
48,91.23144625
49,86.13404784
50,91.28254369
51,67.69798508
52,100
53,85.69181377
54,74.93332263
55,87.2813823
56,64.67401939
57,78.49306847
58,96.67248446
59,90.97672924
60,83.29669639
61,57.48031545
62,78.28471819
63,67.92121899
64,65.41590956
65,80.23258523
66,78.37493186
67,83.5167187
68,72.7416201
69,76.91982102
70,87.47580735
71,82.56747847
72,89.16095283
73,87.42019677
74,76.61454126
75,89.0227948
76,90.72435635
77,64.21450817
78,89.67188376
79,84.89316724
80,84.1153152
81,53.32045324
82,53.96836666
83,81.117167
84,89.25784499
85,90.61481071
86,61.08343984
87,21.07883892
88,84.37618613
89,78.45994802
90,80.79584281
91,69.81687521
92,78.25977977
93,75.34619652
94,83.45653925
95,60.02442378
96,49.64279098
97,70.42489787
98,78.3699189
99,76.87118945
100,81.56507913
101,82.70680484
102,87.54499699
103,83.15644086
104,71.05871561
105,100
106,87.84477952
107,87.81857804
108,82.27978008
109,90.99354648
110,75.47872784
111,76.1948805
112,100
113,78.02094919
114,84.73117527
115,62.17504811
116,80.41459298
117,79.4959392
118,81.47164249
119,82.18410684
120,89.44894058
121,74.98434129
122,78.22993968
123,88.88483116
124,84.64160647
125,76.79306635
126,100
127,96.6557877
128,74.29695497
129,81.10858088
130,59.73804033
131,86.76804549
132,80.62065559
133,61.66375245
134,15.56782602
135,85.90036241
136,93.04126336
137,70.10312603
138,84.86627292
139,58.29047636
140,37.76581129
141,76.99435779
142,76.32939963
143,78.72908444
144,74.46643791
145,92.90057971
146,54.24623904
147,46.25565995
148,88.70226537
149,74.97084744
150,74.05807285
151,81.22009147
152,91.25080447
153,85.22738063
154,95.83626712
155,70.69579168
156,92.10442092
157,78.43504598
158,86.09371542
159,96.94248928
160,82.09441536
161,100
162,85.12445803
163,57.93933198
164,95.02122316
165,54.85453661
166,83.35691
167,65.55767715
168,100
169,24.63210796
170,62.5088848
171,80.85961005
172,76.11453841
173,86.58588164
174,59.88017483
175,79.73595474
176,76.80724847
177,93.20474961
178,91.15345741
179,79.74709273
180,81.90858859
181,88.49053674
182,85.36205214
183,78.38359759
184,76.09593651
185,100
186,85.89255713
187,81.334752
188,85.37550077
189,78.0695949
190,76.51657438
191,66.62237657
192,73.41138397
193,78.41416981
194,85.8092921
195,93.19589181
196,87.00651811
197,62.09726692
